Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1928-0005-TUR,1928,0005,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Torbah-Izmir,,,,,,,,,Richter,38.25 N,27.10 E,,,1928,3,30,1928,3,30,50,209,,,209,,,,,,,5.8805102198896,,,,
1938-0002-TUR,1938,0002,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kirsehir,,,,,,,,7,Richter,39.508,33.872,13:59,,1938,4,19,1938,4,19,149,800,,,800,,,,,,,4.8206508197932,,,,
1939-0010-TUR,1939,0010,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzincan (Anatolia),,Tsunami/Tidal wave,,,,,,8,Richter,39.771,39.57,02:57,,1939,12,27,1939,12,27,32962,,585000,,585000,,,,,20000,419844,4.763669131616,,,,
1939-0008-TUR,1939,0008,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Erzican, Tercan region",,,,,,,,6,Richter,39.7,10.4,11:43,,1939,11,21,1939,11,21,13,,,,,,,,,,,4.763669131616,,,,
1939-0023-TUR,1939,0023,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Dikili,,,,,,,,6,Richter,39.209,27.164,03:36,,1939,9,22,1939,9,22,60,68,,,68,,,,,,,4.763669131616,,,,
1940-0007-TUR,1940,0007,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Develi-Erciyes, Kayseri",,,,,,,,,Richter,38.4,35.5,,,1940,2,20,1940,2,20,37,,,,,,,,,,,4.7978581445223,,,,
1942-0011-TUR,1942,0011,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Niksar, Erbaa Tokat ",,,,,,,,7,Richter,40.87,36.732,17:03,,1942,12,20,1942,12,20,3000,,,,,,,,,,,5.5956017790036,,,,
1943-0014-TUR,1943,0014,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Ladik, Samsun, Havza",,,,,,,,8,Richter,40.916,33.562,01:20,,1943,11,27,1943,11,27,4020,5000,,,5000,,,,,40000,674981,5.9260955704314,,,,
1944-0003-TUR,1944,0003,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Bolu Gerede (West Anatolia),,,,,,,,8,Richter,40.696,32.992,06:22,,1944,2,1,1944,2,1,3959,,,,,,,,,,,6.0286626091504,,,,
1944-0010-TUR,1944,0010,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Ayvalik Edremit,,,,,,,,7,Richter,39.502,26.596,05:34,,1944,10,6,1944,10,6,27,,,,,,,,,,,6.0286626091504,,,,
1946-0012-TUR,1946,0012,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia," 
Diyarbakir Varto-Hinis, Ustukran (Eastern Turkey)",,,,,,,,6,Richter,39.3,41.2,06:12,,1946,5,31,1946,5,31,840,,,,,,,,,,,6.6782538543708,,,,
1948-0017-TUR,1948,0017,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Km2,,,,,1948,2,,1948,2,,200,,,,,,,,,,,8.2281557727913,,,,
1948-0021-TUR,1948,0021,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Km2,,,,,1948,6,,1948,6,,132,,,,,,,,,,,8.2281557727913,,,,
1949-0019-TUR,1949,0019,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Karliova (Anatolia),,,,,,,,7,Richter,39,40.5,21:43,,1949,8,17,1949,8,17,320,355,,,355,,,,,,,8.1483814093431,,,,
1951-0015-TUR,1951,0015,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kursunlu-Ilgaz,,,,,,,,7,Richter,40.8,33.4,21:33,,1951,8,13,1951,8,13,54,150,,,150,,,,,,,8.8891433556471,,,,
1952-0009-TUR,1952,0009,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Adana-Misis, Ceyhan",,,,,,,,5,Richter,36.5,35.5,,,1952,10,22,1952,10,22,20,,,,,,,,,,,9.0942774330851,,,,
1952-0014-TUR,1952,0014,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Hasankale (Erzurum province),,,,,,,,6,Richter,39.9,41.7,08:03,,1952,1,3,1952,1,3,103,250,,,250,,,,,,,9.0942774330851,,,,
1953-0010-TUR,1953,0010,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Canakkale, Balikesir, Yenice, Onon",,,,,,,,7,Richter,40.175,27.648,22:06,,1953,3,18,1953,3,18,1200,,50000,,50000,,,,,3570,38963,9.1626554588977,,,,
1956-0042-TUR,1956,0042,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Km2,,,,,1956,8,,1956,8,,138,,,,,,,,,,,9.2885315312835,,,,
1957-0016-TUR,1957,0016,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Abant (Bolu province),,,,,,,,7,Richter,40.7,30.9,09:33,,1957,5,26,1957,5,26,53,119,,,119,,,,,,,9.5989040625491,,,,
1957-0036-TUR,1957,0036,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Km2,,,,,1957,9,,1957,9,,99,,,,,,,,,,,9.5989040625491,,,,
1964-0028-TUR,1964,0028,,Natural,Meteorological,Storm,Convective storm,Hail,,Turkey,TUR,Western Asia,Asia,Southern,,,,Yes,,,,,Kph,,,,,1964,5,8,1964,5,8,,,12000,,12000,,,,,2200,20758,10.5983760170141,,,,
1964-0059-TUR,1964,0059,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Manyas, Bursa, Balikesir provinces (West)",,,,Yes,,,,7,Richter,40.203,28.206,17:31,,1964,10,6,1964,10,6,23,100,13000,,13100,,,,,5000,47177,10.5983760170141,,,,
1964-0015-TUR,1964,0015,,Natural,Biological,Epidemic,Viral disease,,,Turkey,TUR,Western Asia,Asia,Adana Province,,,,Yes,,,,,Vaccinated,,,,,1964,2,,1964,2,,19,,2500,,2500,,,,,,,10.5983760170141,,,,
1964-0018-TUR,1964,0018,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,Western-Eskisehir,,,,Yes,,,,,Km2,,,,,1964,3,10,1964,3,10,,,3000,,3000,,,,,,,10.5983760170141,,,,
1965-0008-TUR,1965,0008,,Natural,Biological,Epidemic,Viral disease,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Vaccinated,,,,,1965,2,,1965,2,,461,,100000,,100000,,,,,,,10.7663787252722,,,,
1966-0058-TUR,1966,0058,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Mus province,,,,,,,,,Richter,38.5,41.3,,,1966,7,3,1966,7,3,14,,,,,,,,,,,11.0909971475822,,,,
1966-0062-TUR,1966,0062,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia, Mus Varto,,,,Yes,,,,7,Richter,39.235,41.572,15:22,,1966,8,19,1966,8,19,2394,1500,108000,,109500,,,,,20000,180326,11.0909971475822,,,,
1967-0047-TUR,1967,0047,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"(1) West Turkey - (2) East Turkey - (3) West Turkey; Mudurnu, Adapazari",,,,Yes,,,,7,Richter,40.751,30.8,19:57,,1967,7,22,1967,7,22,183,360,238713,87000,326073,,,,,3000,26319,11.3985269797253,,,,
1968-0071-TUR,1968,0071,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Bartin, Amasra, Cakraz (North Anatolia)",,Tsunami/Tidal wave,,,,,,7,Richter,41.86,32.463,11:19,,1968,9,3,1968,9,3,24,200,10000,10000,20200,,,,,,,11.8854465143325,,,,
1968-0039-TUR,1968,0039,,Natural,Biological,Epidemic,Viral disease,,Polio,Turkey,TUR,Western Asia,Asia,Countrywide (Except East),,,,Yes,,,,,Vaccinated,,,,,1968,4,,1968,4,,98,,1975,,1975,,,,,,,11.8854465143325,,,,
1968-0134-TUR,1968,0134,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,Igel,,,,,,,,,Km2,,,,,1968,12,28,1968,12,28,147,,,,,,,,,,,11.8854465143325,,,,
1969-0059-TUR,1969,0059,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"West Alasehir, Sarigol, Kirz",,,,,,,,7,Richter,38.515,28.546,04:48,,1969,3,28,1969,3,28,53,350,,,350,,,,,,,12.5346752600948,,,,
1970-0019-TUR,1970,0019,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kutahya Gediz,,,,Yes,,,,7,Richter,39.098,29.570,,,1970,3,28,1970,3,28,1086,2776,80672,,83448,,,,,55600,419101,13.2664799609959,,,,
1971-0030-TUR,1971,0030,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Burdur,,,,,,,,6,Richter,37.6,29.8,09:25,,1971,5,12,1971,5,12,57,,,,,,,,,,,13.8359835495998,,,,
1971-0034-TUR,1971,0034,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Bingol, Erzincan",,,,Yes,,,,7,Richter,38.934,40.653,19:43,,1971,5,22,1971,5,22,878,1200,60000,27465,88665,,,,,5000,36138,13.8359835495998,,,,
1972-0020-TUR,1972,0020,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Turkey,TUR,Western Asia,Asia,Istanbul,,,,,,,,,Kph,,,,,1972,2,4,1972,2,4,30,,,,,,,,,,,14.2887340027309,,,,
1974-0057-TUR,1974,0057,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,Silopi,,,,,,,,,Km2,,,,,1974,11,19,1974,11,19,33,,,,,,,,,,,16.8486291063234,,,,
1975-0053-TUR,1975,0053,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia," Diyarbakir Hazro, Hani, Kulp,Lice",,,,Yes,,,,7,Richter,38.474,40.723,12:20,,1975,9,6,1975,9,6,2385,3372,50000,,53372,,,,,17000,92446,18.3891290650193,,,,
1976-0029-TUR,1976,0029,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,5,Richter,41.13,43.01,14:55,,1976,3,25,1976,3,25,2,6,,,6,,,,,,,19.4455440893725,,,,
1976-0056-TUR,1976,0056,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Denizli,,,,,,,,5,Richter,37.7,28.89,04:12,,1976,8,19,1976,8,19,4,50,,9000,9050,,,,,,,19.4455440893725,,,,
1976-0075-TUR,1976,0075,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Muradiye Van ,,,,Yes,,,,7,Richter,39.121,44.029,15:22,,1976,11,24,1976,11,24,3840,15000,150000,51000,216000,,,,,25000,128564,19.4455440893725,,,,
1976-0170-TUR,1976,0170,,Natural,Hydrological,Landslide,Landslide,,,Turkey,TUR,Western Asia,Asia,Ordu province,,,,,,,,,,,,,,1976,9,12,1976,9,12,40,,,,,,,,,,,19.4455440893725,,,,
1976-0180-TUR,1976,0180,,Natural,Hydrological,Landslide,Landslide,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,,,,,,1976,2,,1976,2,,27,,,,,,,,,,,19.4455440893725,,,,
1977-0052-TUR,1977,0052,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Lice-Palu, Elazig Province",,,,,,,,5,Richter,38.56,40.02,05:39,,1977,3,25,1977,3,25,30,,,,,,,,,,,20.7098324994209,,,,
1977-0099-TUR,1977,0099,,Natural,Biological,Epidemic,Parasitic disease,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Vaccinated,,,,,1977,8,,1977,8,,,,100000,,100000,,,,,,,20.7098324994209,,,,
1978-0018-TUR,1978,0018,,Natural,Biological,Epidemic,Parasitic disease,,,Turkey,TUR,Western Asia,Asia,Countrywide,,,,,,,,,Vaccinated,,,,,1978,1,1,1978,1,1,,,,,,,,,,,,22.2901950366959,,,,
1978-0263-TUR,1978,0263,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Pulumur, Erzincan",,,,,,,,5,Richter,36.69,39.79,06:17,,1978,2,15,1978,2,15,,20,125,2500,2645,,,,,,,22.2901950366959,,,,
1980-0353-TUR,1980,0353,,Natural,Hydrological,Landslide,Landslide,,,Turkey,TUR,Western Asia,Asia,Ayvazhau village (Kayseri province),,,,,,,,,,,,,,1980,3,27,1980,3,27,40,,,,,,,,,,,28.1588866338069,,,,
1980-0034-TUR,1980,0034,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,Anatolia,,,,,,,,,Km2,,,,,1980,3,,1980,3,,75,,60000,,60000,,,,,15000,53269,28.1588866338069,,,,
1981-0270-TUR,1981,0270,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,Western,,,,,,,,,Km2,,,,,1981,12,17,1981,12,17,10,,,,,,,,,,,31.0690249461021,,,,
1983-0136-TUR,1983,0136,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Khorasan, Pasinler, Narman (Erzurum province), Kars provinces",,,,Yes,Yes,,,7,Richter,40.33,42.187,7:12,,1983,10,30,1983,10,30,1346,1137,800000,33000,834137,,,,,25000,73458,34.033263629163,,,,
1984-0086-TUR,1984,0086,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Olur-Senkaya area,,,,,No,No,,,Richter,40.89 N,42.22 E,,,1984,9,18,1984,9,18,3,38,375000,,375038,,,,,,,35.4968811298231,,,,
1984-0413-TUR,1984,0413,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum-Senkaya area,,,,,No,No,,5,Richter,40.55 N,42.40 E,,,1984,10,18,1984,10,18,3,35,375000,,375035,,,,,,,35.4968811298231,,,,
1984-0284-TUR,1984,0284,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,SouthEast,,,,,,,,,Km2,,,,,1984,5,,1984,5,,,,200,,200,,,,,,,35.4968811298231,,,,
1985-0194-TUR,1985,0194,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"ERZURUM, KARS, AGRI, ARTVIN",,,,,,,,4,Richter,40.31,42.307,10:26,,1985,11,7,1985,11,7,,14,565,,579,,,,,,,36.7554679439105,,,,
1985-0278-TUR,1985,0278,,Natural,Climatological,Wildfire,Forest fire,,,Turkey,TUR,Western Asia,Asia,Kusadasi,,,,,,,,11,Km2,,,,,1985,9,6,1985,9,6,13,,,,,,,,,,,36.7554679439105,,,,
1986-0058-TUR,1986,0058,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Malatya, Adiyaman provinces",,,,,No,No,,6,Richter,37.993 N,37.806 E,,,1986,5,5,1986,5,5,15,100,20000,,20100,,,,,,,37.4531116621934,,,,
1986-0183-TUR,1986,0183,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Aydin area,,,,,No,No,,6,Richter,37.931 N,28.574 E,,,1986,10,11,1986,10,11,,3,750,250,1003,,,,,,,37.4531116621934,,,,
1987-0382-TUR,1987,0382,,Natural,Meteorological,Extreme temperature,Cold wave,,,Turkey,TUR,Western Asia,Asia,Istanbul,,,,,,,,,°C,,,,,1987,3,,1987,3,,30,,,,,,,,,,,38.8256008137732,,,,
1987-0140-TUR,1987,0140,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Turkey,TUR,Western Asia,Asia,Southern,,,,,,,,,Vaccinated,,,,,1987,8,,1987,8,,11,,150,,150,,,,,,,38.8256008137732,,,,
1988-0684-TUR,1988,0684,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,Ankara,,,,,,,,,Km2,,,,,1988,6,13,1988,6,13,13,,1000,500,1500,,,,,,,40.4088060501708,,,,
1988-0273-TUR,1988,0273,,Natural,Hydrological,Landslide,Landslide,,,Turkey,TUR,Western Asia,Asia,Catak (Trabzon province),,,,Yes,,,,,,,,,,1988,6,23,1988,6,23,64,130,305,185,620,,,,,,,40.4088060501708,,,,
1990-0023-TUR,1990,0023,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Giresun, Gumushane, Trazbon provinces",Heavy rain,,,Yes,No,No,,20700,Km2,,,,,1990,6,18,1990,6,21,51,,4500,,4500,,,,,150000,335977,44.6458774383636,,,,
1990-0634-TUR,1990,0634,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,"Kahraman Maras Province, Bingol Province, Gazientep",Heavy rain,,,,No,No,,,Km2,,,,,1990,2,18,1990,2,19,18,,,,,,,,,,,44.6458774383636,,,,
1991-0714-TUR,1991,0714,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,"Diyarbakir, Malatya, Adiyaman, Elazig, Bingol, Mus provinces",Brief torrential rain,,,,No,No,,40170,Km2,,,,,1991,5,16,1991,5,17,42,,500,,500,,,,,25000,53721,46.5366206057622,,,,
1991-0548-TUR,1991,0548,,Natural,Meteorological,Storm,,,,Turkey,TUR,Western Asia,Asia,"Van, Bitlis, Hakkari Provinces ( Western and Central Turkey)",,,,,,,,100,Kph,,,,,1991,12,8,1991,12,8,1,3,,,3,,,,,,,46.5366206057622,,,,
1992-0022-TUR,1992,0022,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzican province,,"Slide (land, mud, snow, rock)",,Yes,No,No,11213,7,Richter,39.710 N,39.605 E,20:19,,1992,3,13,1992,3,13,653,3850,250000,95000,348850,,,10800,22525,750000,1564256,47.9461296367986,,,,
1992-0010-TUR,1992,0010,,Natural,Geophysical,Mass movement (dry),Avalanche,,,Turkey,TUR,Western Asia,Asia,"Sirnak, Siirt, Elazig, Batman, Bingol, Diyarbakir, Hakkari, Tunceli provinces",,,,Yes,No,No,,,,,,,,1992,1,1,1992,2,7,261,69,1000,,1069,,,,,,,47.9461296367986,,,,
1993-0081-TUR,1993,0081,,Natural,Hydrological,Landslide,Avalanche,,,Turkey,TUR,Western Asia,Asia,Ozengeli,,,,,,,,,,,,,,1993,1,18,1993,1,18,135,,,,,,,,,,,49.3613321649381,,,,
1994-0027-TUR,1994,0027,,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Turkey,TUR,Western Asia,Asia,Eastern and North-East,,,,,,,,,°C,,,,,1994,2,14,1994,2,14,,,8000,,8000,,,,,,,50.6484026622566,,,,
1994-0362-TUR,1994,0362,,Natural,Meteorological,Storm,,,,Turkey,TUR,Western Asia,Asia,Black sea,,,,,,,,,Kph,,,,,1994,10,19,1994,10,19,30,,,,,,,,,,,50.6484026622566,,,,
1995-0147-TUR,1995,0147,,Natural,Hydrological,Landslide,Mudslide,,,Turkey,TUR,Western Asia,Asia,"Ankara, Istanbul, Senirkent",,"Slide (land, mud, snow, rock)",,,No,No,,,,,,,,1995,7,10,1995,7,13,74,46,10000,2000,12046,,,,,26000,49933,52.0692986874991,,,,
1995-0233-TUR,1995,0233,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Dinar, Evciler",,,,Yes,No,No,1981,6,Richter,38.0 N,30.1 E,17:57,,1995,10,1,1995,10,1,94,240,120000,40000,160240,,,,,205800,395243,52.0692986874991,,,,
1995-0072-TUR,1995,0072,,Natural,Hydrological,Flood,Riverine flood,,,Turkey,TUR,Western Asia,Asia,Bitlis (Eastern Turkey),,,,,,,,,Km2,,,,,1995,5,2,1995,5,2,,1,200,,201,,,,,23500,45132,52.0692986874991,,,,
1995-0273-TUR,1995,0273,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Izmir, Antalaya, Isparta",Heavy rain,,,,No,No,,14860,Km2,,,,,1995,11,4,1995,11,8,63,117,300000,6500,306617,,,,,50000,96026,52.0692986874991,,,,
1996-0461-TUR,1996,0461,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Corum-Amasya,,"Slide (land, mud, snow, rock)",,,No,No,,,Richter,40.754 N,35.340 E,,,1996,8,14,1996,8,14,,6,17000,9000,26006,,,,,30000,55975,53.5955608540084,,,,
1996-0175-TUR,1996,0175,,Natural,Climatological,Wildfire,Forest fire,,,Turkey,TUR,Western Asia,Asia,Near Marmaris,,,,,,,,15,Km2,,,,,1996,7,31,1996,7,31,,,500,,500,,,,,,,53.5955608540084,,,,
1998-0201-TUR,1998,0201,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Adana, Ceyhan, Hatay",,,,,,,1740,6,Richter,3.878,35.307,17:00,,1998,6,28,1998,6,28,145,1600,1500000,88000,1589600,,,,,550000,987435,55.6998628053472,,,,
1998-0207-TUR,1998,0207,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Geyhan, Adana area",,,,,No,No,,5,Richter,36.874 N,35.321 E,05:15,,1998,7,4,1998,7,4,,1016,,,1016,,,,,,,55.6998628053472,,,,
1998-0167-TUR,1998,0167,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,"Zonguldak, Karabuk, Bartin, Sakarya",Brief torrential rain,,,,No,No,,,Km2,,,,Bartin,1998,5,20,1998,5,23,10,47,1200000,40000,1240047,,,,,1000000,1795337,55.6998628053472,,,,
1998-0189-TUR,1998,0189,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,Diyarbajir,,,,,,,,,Km2,,,,,1998,6,12,1998,6,12,22,,,,,,,,,,,55.6998628053472,,,,
1998-0255-TUR,1998,0255,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,"Beskoy (Trabzon province), Rize province",Brief torrential rain,,,,No,No,,,Km2,,,,,1998,8,10,1998,8,11,60,,1000,,1000,,,,,,,55.6998628053472,,,,
1998-0588-TUR,1998,0588,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kayseri,,,,,No,No,,5,Richter,,,,,1998,12,14,1998,12,14,2,,590,100,690,,,,,,,55.6998628053472,,,,
1999-0449-TUR,1999,0449,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Duzce, Bolu, Kaynasli",,"Slide (land, mud, snow, rock)",,Yes,Yes,,14636,7,Richter,40.758,31.161,18:58,,1999,11,12,1999,11,12,845,4948,165000,55000,224948,10000000,17568953,,,1000000,1756895,56.9185870408555,,,,
1999-0268-TUR,1999,0268,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Izmit, Kocaeli, Yalova, Golcuk, Zonguldak, Sakarya, Tekirdag, Istanbul, Bursa, Eskisehir, Bolu",,,,Yes,,Yes,116413,8,Richter,40.748,29.864,03:02,,1999,8,17,1999,8,17,17127,43953,715000,600000,1358953,25000000,43922383,2000000,3513791,20000000,35137907,56.9185870408555,,,,
1999-0314-TUR,1999,0314,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Kocaeli, Bursa, Istanbul, Sakarya, Yalova Provinces",,,,,,,,6,Richter,40.709,30.045,14:58,,1999,9,13,1999,9,13,6,422,,,422,,,,,,,56.9185870408555,,,,
1999-0376-TUR,1999,0376,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Marmaris,,,,,,,,5,Richter,,,3:53,,1999,10,5,1999,10,5,,103,,,103,,,,,,,56.9185870408555,,,,
1999-0386-TUR,1999,0386,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Izmit,,,,,,,,5,Richter,40.711,29.949,11:10,,1999,8,31,1999,8,31,1,166,,,166,,,,,,,56.9185870408555,,,,
1999-0445-TUR,1999,0445,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Sakarya Province,,,,,,,,7,Richter,40.758,31.161,16:40,,1999,11,11,1999,11,11,3,200,,,200,,,,,,,56.9185870408555,,,,
