Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2018-0272-TUR,2018,0272,,Natural,Hydrological,Landslide,Landslide,,,Turkey,TUR,Western Asia,Asia,Sarilar village (Tekirdag region),Heavy rains,Transport accident,,,,,,,,,,,,2018,7,8,2018,7,8,24,100,,,100,,,,,,,85.8030260572654,2,,28287,Merkez (Adm2).
2019-0274-TUR,2019,0274,,Natural,Hydrological,Flood,Flash flood,,,Turkey,TUR,Western Asia,Asia,Arakli District (Trabzon Province),Heavy rains,,,,,,,12361,Km2,40.706,41.047,,,2019,6,18,2019,6,20,10,,70,,70,,,,,,,87.3580067738847,2,,28304,Arakli (Adm2).
1924-0009-TUR,1924,0009,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum,,,,,,,,5,Richter,39.7,42.8,03:52,,1924,5,13,1924,5,13,50,,,,,,,,,,,5.8691138822542,,,,
1924-0011-TUR,1924,0011,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum,,,,,,,,7,Richter,39.897,41.891,16:34,,1924,9,13,1924,9,13,60,,,1140,1140,,,,,,,5.8691138822542,,,,
1925-0009-TUR,1925,0009,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Ardahan,,,,,,,,6,Richter,41.2,42.8,20:38,,1925,1,9,1925,1,9,200,,,,,,,,,,,6.0058699338795,,,,
1925-0013-TUR,1925,0013,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Dinar,,,,,,,,6,Richter,38,30.5,09:46,,1925,8,7,1925,8,7,3,,,6129,6129,,,,,,,6.0058699338795,,,,
1934-0020-TUR,1934,0020,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Diyarbakir (Kurdistan),,,,,,,,,Richter,37.919,40.211,,,1934,11,27,1934,11,27,100,,,,,,,,,,,4.581327729449,,,,
1934-0021-TUR,1934,0021,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Diyarbakir (Kurdistan),,,,,,,,,Richter,37.919,40.211,,,1934,12,15,1934,12,15,20,,,,,,,,,,,4.581327729449,,,,
1935-0031-TUR,1935,0031,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kigi,,,,,,,,6,Richter,39.3,40.6,13:24,,1935,5,1,1935,5,1,540,,,,,,,,,,,4.6952911058033,,,,
1940-0033-TUR,1940,0033,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Cis,,,,,,,,6,Richter,41.7,43.8,01:23,,1940,5,8,1940,5,8,16,,,,,,,,,,,4.7978581445223,,,,
